Year,Country,Resettled by destination per capita,Child migrants (UNICEF),Child migrants (under-20s),Asylum seekers by origin (per capita),Child migrants per capita (under-20s),Refugees by destination.1,Internal displacement (disasters),Annual internal displacements (Disaster),Asylum seekers by destination,Annual internal displacement from conflict (%),Refugees by destination (per capita),Refugees by origin (per capita),"Child migrants (UNICEF, under-18s)",Refugees by origin,Internal displacement (disaster),Emigrants,Annual internal displacement (conflict),Internal displacement share (conflict),Asylum seekers by origin,International immigrants (% population),International migrants,Internal displacement (conflict),Asylum seekers by destination (per capita),Resettled arrivals by origin (per capita),Annual internal displacement from disaster (%),Child migrants (UNDESA),Child migrants per capita (UNDESA),Net migration,Remittances cost (from),International emigrants (% population),Refugees by destination (per capita).1
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2005,Australia and New Zealand,,,590621.0,,,,,,,,,,,,,984280.0,,,,,5717982.0,,,,,346172.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
2010,Australia and New Zealand,,,716563.0,,,,,,,,,,,,,1149265.0,,,,,6830423.0,,,,,416371.0,,,,,
